data,produto,categoria,cidade,vendedor,quantidade,preco_unitario
2024-03-11,Mesa,Moveis,Fortaleza,Fernanda,3,3872
2024-04-03,Monitor,Tecnologia,Salvador,Lucas,4,3019
2023-12-10,Smartphone,Tecnologia,Curitiba,João,2,2533
2023-11-10,Mouse,Tecnologia,Fortaleza,Ana,4,3004
2023-09-01,Mesa,Moveis,Curitiba,João,3,3656
2023-10-01,Mesa,Moveis,RIO DE JANEIRO,Maria,4,2161
2023-12-06,Teclado,Tecnologia,sao paulo,Fernanda,4,1578
2023-07-25,Monitor,Tecnologia,Salvador,Carlos,2,4043
2024-04-21,Smartphone,Tecnologia,Recife,Carlos,2,261
28/09/2023,Mesa,Moveis,sao paulo,Lucas,3,1375
2023-12-04,Tablet,Tecnologia,RIO DE JANEIRO,Lucas,4,4093
06/03/2023,Mesa,Moveis,Fortaleza,João,1,2127
2024-11-05,Tablet,Tecnologia,RIO DE JANEIRO,Ana,3,3661
2023-07-20,Mesa,Moveis,Belo Horizonte,Carlos,2,3204
2023-04-09,Tablet,Tecnologia,Curitiba,Fernanda,2,1670
2024-10-04,Cadeira,Moveis,Belo Horizonte,Pedro,2,602
2023-07-26,Notebook,Tecnologia,Belo Horizonte,João,2,1584
2023-04-06,Mouse,Tecnologia,Recife,Lucas,1,1778
2024-11-29,Tablet,Tecnologia,RIO DE JANEIRO,Lucas,4,2725
2023-01-28,Cadeira,Moveis,Belo Horizonte,Ana,4,2081
2023-08-19,Notebook,Tecnologia,Recife,Lucas,1,1406
16/09/2023,Notebook,Tecnologia,São Paulo,Pedro,4,4844
2024-11-14,Smartphone,Tecnologia,sao paulo,João,3,3545
23/04/2023,Mouse,Tecnologia,Belo Horizonte,Maria,2,4759
23/04/2023,Monitor,Tecnologia,Rio de Janeiro,Maria,4,3252
19/07/2024,Mouse,Tecnologia,Curitiba,Ana,4,3574
2024-11-02,Smartphone,Tecnologia,São Paulo,Fernanda,3,3610
2023-10-07,Cadeira,Moveis,São Paulo,João,2,297
06/07/2023,Mouse,Tecnologia,Recife,Pedro,1,1894
2024-05-25,Smartphone,Tecnologia,São Paulo,Fernanda,4,1834
2024-10-02,Smartphone,Tecnologia,Belo Horizonte,Ana,1,4161
2023-12-12,Tablet,Tecnologia,São Paulo,Carlos,4,3743
2024-03-28,Mouse,Tecnologia,Fortaleza,Pedro,3,2156
2023-06-01,Mouse,Tecnologia,São Paulo,Ana,1,4091
2023-04-14,Cadeira,Moveis,Fortaleza,João,3,3283
2023-12-04,Teclado,Tecnologia,Recife,João,3,3891
2024-02-02,Mouse,Tecnologia,Belo Horizonte,Pedro,4,1627
2024-10-01,Notebook,Tecnologia,Belo Horizonte,Carlos,4,1054
2024-10-31,Cadeira,Moveis,Rio de Janeiro,Lucas,1,662
2024-08-31,Cadeira,Moveis,Fortaleza,,4,4648
2023-07-11,Monitor,Tecnologia,Curitiba,Carlos,1,1343
2023-02-06,Monitor,Tecnologia,Fortaleza,Ana,1,401
2023-04-26,Notebook,Tecnologia,Fortaleza,Maria,1,3075
2024-07-19,Notebook,Tecnologia,Salvador,Fernanda,4,2833
2024-09-30,Smartphone,Tecnologia,São Paulo,João,2,4157
2023-09-03,Monitor,Tecnologia,Rio de Janeiro,João,1,2906
08/06/2024,Tablet,Tecnologia,São Paulo,Carlos,3,4231
2024-10-15,Tablet,Tecnologia,Rio de Janeiro,Fernanda,3,1266
2023-02-20,Mesa,Moveis,,João,3,3361
2024-11-12,Mouse,Tecnologia,sao paulo,Lucas,2,2591
2024-09-11,Mouse,Tecnologia,Recife,Carlos,4,4969
2024-10-17,Mesa,Moveis,sao paulo,Fernanda,4,1793
2024-08-26,Monitor,Tecnologia,Belo Horizonte,Fernanda,2,840
02/10/2024,Notebook,Tecnologia,Salvador,João,1,2949
